,uuid,id,rank,name,title,country,yes,no,photo,country_flag,date_of_birth,category,context
0,f781ad43-502b-561e-b4bf-447101145a39,13,1,Jair Bolsonaro,President of Brazil,Brazil,0.78,0.22,https://assets.time.com/assets/poy-2021/jair-bolsonaro-poy-poll-2021.jpg,https://flagcdn.com/br.svg,1955-03-21,Politics,
1,f601cdc1-0acd-5f9a-80b1-c7d6749a3252,07,2,Donald Trump,Former President of the United States,United States,0.39,0.61,https://assets.time.com/assets/poy-2021/donald-trump-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1946-06-14,Politics,
2,c3b2990a-5c38-55ee-8780-eefc69edbcf8,40,3,Frontline health care workers,Frontline health care workers,World,0.29,0.71,https://assets.time.com/assets/poy-2021/frontline-healthcare-workers-poy-poll-2021.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_the_United_Nations.svg,,Science,
3,7c39d6bf-01cf-501f-9b02-4ded6bc07554,11,4,Alexei Navalny,Anti-corruption activist,Russia,0.28,0.72,https://assets.time.com/assets/poy-2021/alexei-navalny-poy-poll-2021.jpg,https://flagcdn.com/ru.svg,1976-06-04,Politics,
4,6ecb7530-e7db-50ae-b999-48c5870c06e8,41,5,Vaccine scientists,Vaccine scientists,World,0.23,0.77,https://assets.time.com/assets/poy-2021/vaccine-scientists-poy-poll-2021.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_the_United_Nations.svg,,Science,
5,bebc2c41-68ef-5248-8369-e0aa6ba4f801,22,6,Elon Musk,CEO of Tesla and SpaceX,United States,0.22,0.78,https://assets.time.com/assets/poy-2021/elon-musk-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1971-06-28,Technology,
6,fd0084a1-47ec-5161-aeb9-5fd515bf17ef,47,7,Britney Spears,Artist,United States,0.18,0.82,https://assets.time.com/assets/poy-2021/britney-spears-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1981-12-02,Arts and Entertainment,
7,78b6711e-4f72-54f2-b37c-874d05df3dd3,06,8,Tucker Carlson,Television host,United States,0.1,0.9,https://assets.time.com/assets/poy-2021/tucker-carlson-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1969-05-16,Arts and Entertainment,
8,f5c751b8-fc0d-5965-885f-9627ecee6321,33,9,Simone Biles,Gymnast,United States,0.1,0.9,https://assets.time.com/assets/poy-2021/Simone-Biles-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1997-03-14,Sport,
9,921b63c4-9cb1-5c0c-a0f8-339f2c9e2ac1,17,10,Vladimir Putin,President of Russia,Russia,0.1,0.9,https://assets.time.com/assets/poy-2021/vladimir-putin-poy-poll-2021.jpg,https://flagcdn.com/ru.svg,1952-10-07,Politics,
10,7843a1b8-bd1d-5cfe-9e01-714e5ccf903b,16,11,Haitian migrants,Haitian migrants,Haiti,0.09,0.91,https://assets.time.com/assets/poy-2021/haitian-migrants-poy-poll-2021.jpg,https://flagcdn.com/ht.svg,,Society,
11,ac40469c-c5d7-56f9-8d0a-10a14de6eb94,38,12,Novak Djokovic,Tennis player,Serbia,0.09,0.91,https://assets.time.com/assets/poy-2021/Novak-Djokovic-poy-poll-2021.jpg,https://flagcdn.com/rs.svg,1987-05-22,Sport,
12,8e5997af-2879-5b5a-a194-c8bbe6518608,20,13,Jacinda Ardern,Prime Minister of New Zealand,New Zealand,0.08,0.92,https://assets.time.com/assets/poy-2021/jacinda-ardern-poy-poll-2021.jpg,https://flagcdn.com/nz.svg,1980-07-26,Politics,
13,f9c984c2-4897-5db1-a769-279e8eaaa7cd,21,14,Fawzia Koofi,Women’s rights activist,Afghanistan,0.08,0.92,https://assets.time.com/assets/poy-2021/fawzia-koofi-poy-poll-2021.jpg,https://flagcdn.com/af.svg,1975-01-01,Society,
14,cd5946cd-b3b2-57cd-b785-e0b01d3f3200,15,15,Pope Francis,Head of the Catholic Church,Vatican City,0.08,0.92,https://assets.time.com/assets/poy-2021/pope-francis-poy-poll-2021.jpg,https://flagcdn.com/va.svg,1936-12-17,Religion,
15,7242107c-bcfe-5cf0-9f95-b856b4efe537,42,16,Anthony Fauci,NIAID Director,United States,0.07,0.93,https://assets.time.com/assets/poy-2021/anthony-fauci-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1940-12-24,Science,
16,dd40f248-a519-5b60-938c-248a16c9a3d2,01,17,Joe Biden,President of the United States,United States,0.07,0.93,https://assets.time.com/assets/poy-2021/joe-biden-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1942-11-20,Politics,
17,9b164f8a-6a19-5d2c-b5cd-a17fe631794f,24,18,Jeff Bezos,Founder and executive chairman of Amazon,United States,0.07,0.93,https://assets.time.com/assets/poy-2021/jeff-bezos-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1964-01-12,Technology,
18,f732156a-64cb-5bca-9e90-cbd767f96593,44,19,Greta Thunberg,Climate activist,Sweden,0.07,0.93,https://assets.time.com/assets/poy-2021/greta-thunberg-poy-poll-2021.jpg,https://flagcdn.com/se.svg,2003-01-03,Society,
19,162874a3-38e2-5ee4-b62f-466903020db0,32,20,Naomi Osaka,Tennis player,Japan,0.07,0.93,https://assets.time.com/assets/poy-2021/Naomi-Osaka2-poy-poll-2021.jpg,https://flagcdn.com/jp.svg,1997-10-16,Sport,
20,7a94d235-16f4-5924-a1e1-20d10f40377b,50,21,Kanye West,Artist,United States,0.07,0.93,https://assets.time.com/assets/poy-2021/kanye-west-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1977-06-08,Arts and Entertainment,
21,56d4105c-0272-57b1-bd28-63c33465e213,53,22,Dave Chappelle,Comedian,United States,0.07,0.93,https://assets.time.com/assets/poy-2021/dave-chappelle-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1973-08-24,Arts and Entertainment,
22,01c7ddd6-329f-56d4-b9a8-d21b6797390a,18,23,Prince Harry and Meghan,The Duke and Duchess of Sussex,United Kingdom,0.07,0.93,https://assets.time.com/assets/poy-2021/harry-meghan-poy-poll-2021.jpg,https://flagcdn.com/gb.svg,1984-09-15,Politics,
23,cf378f77-cd6e-5694-9dd2-7cbd4196e478,45,24,Lil Nas X,Artist,United States,0.07,0.93,https://assets.time.com/assets/poy-2021/lil-nas-x-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1999-04-09,Arts and Entertainment,
